#miRNA	read_count	precursor	total	cc1	cc2	cc3	mm1	mm2	mm3	cc1(norm)	cc2(norm)	cc3(norm)	mm1(norm)	mm2(norm)	mm3(norm)
hsa-miR-10396a-3p	1.00	hsa-mir-10396a	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-10396a-5p	0.00	hsa-mir-10396b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396b-3p	3.00	hsa-mir-10396b	3.00	1.00	0	0	2.00	0	0	0.64	0	0	0.45	0	0
hsa-miR-10396b-5p	0.00	hsa-mir-10396b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10397-5p	0.00	hsa-mir-10397	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10397-3p	0.00	hsa-mir-10397	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10398-5p	0.00	hsa-mir-10398	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10398-3p	0.00	hsa-mir-10398	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10399-3p	119.00	hsa-mir-10399	119.00	19.00	18.00	4.00	55.00	12.00	11.00	12.22	7.12	6.07	12.43	5.93	5.49
hsa-miR-10399-5p	122.00	hsa-mir-10399	122.00	21.00	14.00	3.00	62.00	6.00	16.00	13.51	5.54	4.55	14.01	2.96	7.99
hsa-miR-103a-1-5p	1.00	hsa-mir-103a-1	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0.50
hsa-miR-103a-3p	73477.00	hsa-mir-103a-1	73477.00	9693.00	10286.00	1754.00	32501.00	9989.00	9254.00	6234.80	4068.82	2662.57	7345.23	4932.70	4619.57
hsa-miR-103a-2-5p	190.00	hsa-mir-103a-2	190.00	28.00	31.00	8.00	69.00	39.00	15.00	18.01	12.26	12.14	15.59	19.26	7.49
hsa-miR-103a-3p	73610.00	hsa-mir-103a-2	73610.00	9701.00	10313.00	1759.00	32568.00	10006.00	9263.00	6239.95	4079.50	2670.16	7360.37	4941.09	4624.06
hsa-miR-103b	0.00	hsa-mir-103b-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103b	0.00	hsa-mir-103b-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10400-3p	0.00	hsa-mir-10400	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10400-5p	3.00	hsa-mir-10400	3.00	1.00	1.00	1.00	0	0	0	0.64	0.40	1.52	0	0	0
hsa-miR-10401-3p	48.00	hsa-mir-10401	48.00	3.00	8.00	2.00	17.00	5.00	13.00	1.93	3.16	3.04	3.84	2.47	6.49
hsa-miR-10401-5p	1.00	hsa-mir-10401	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-105-3p	1.00	hsa-mir-105-1	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-105-5p	6.00	hsa-mir-105-1	6.00	0	5.00	1.00	0	0	0	0	1.98	1.52	0	0	0
hsa-miR-105-3p	1.00	hsa-mir-105-2	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-105-5p	6.00	hsa-mir-105-2	6.00	0	5.00	1.00	0	0	0	0	1.98	1.52	0	0	0
hsa-miR-10522-5p	0.00	hsa-mir-10522	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10523-5p	22.00	hsa-mir-10523	22.00	9.00	6.00	2.00	2.00	2.00	1.00	5.79	2.37	3.04	0.45	0.99	0.50
hsa-miR-10524-5p	28.00	hsa-mir-10524	28.00	9.00	7.00	3.00	3.00	3.00	3.00	5.79	2.77	4.55	0.68	1.48	1.50
hsa-miR-10525-3p	0.00	hsa-mir-10525	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10526-3p	0.00	hsa-mir-10526	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10527-5p	56.00	hsa-mir-10527	56.00	3.00	26.00	8.00	6.00	11.00	2.00	1.93	10.28	12.14	1.36	5.43	1.00
hsa-miR-106a-3p	6.00	hsa-mir-106a	6.00	0	0	0	5.00	1.00	0	0	0	0	1.13	0.49	0
hsa-miR-106a-5p	1515.00	hsa-mir-106a	1515.00	115.00	77.00	10.00	761.00	464.00	88.00	73.97	30.46	15.18	171.99	229.13	43.93
hsa-miR-106b-5p	2044.00	hsa-mir-106b	2044.00	223.00	137.00	41.00	1080.00	236.00	327.00	143.44	54.19	62.24	244.08	116.54	163.24
hsa-miR-106b-3p	11996.00	hsa-mir-106b	11996.00	1003.00	1840.00	301.00	5766.00	1959.00	1127.00	645.16	727.85	456.92	1303.12	967.38	562.59
hsa-miR-107	7661.00	hsa-mir-107	7661.00	1197.00	845.00	181.00	3784.00	584.00	1070.00	769.94	334.26	274.76	855.18	288.39	534.14
hsa-miR-10a-5p	1644.00	hsa-mir-10a	1644.00	266.00	52.00	8.00	922.00	262.00	134.00	171.10	20.57	12.14	208.37	129.38	66.89
hsa-miR-10a-3p	3.00	hsa-mir-10a	3.00	0	0	0	2.00	1.00	0	0	0	0	0.45	0.49	0
hsa-miR-10b-5p	18251.00	hsa-mir-10b	18251.00	1069.00	1173.00	151.00	5270.00	8544.00	2044.00	687.61	464.00	229.22	1191.02	4219.14	1020.36
hsa-miR-10b-3p	31.00	hsa-mir-10b	31.00	1.00	2.00	0	9.00	12.00	7.00	0.64	0.79	0	2.03	5.93	3.49
hsa-miR-11181-3p	0.00	hsa-mir-11181	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11181-5p	0.00	hsa-mir-11181	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11399	292.00	hsa-mir-11399	292.00	92.00	88.00	34.00	44.00	13.00	21.00	59.18	34.81	51.61	9.94	6.42	10.48
hsa-miR-11400	21.00	hsa-mir-11400	21.00	0	1.00	0	14.00	1.00	5.00	0	0.40	0	3.16	0.49	2.50
hsa-miR-11401	0.00	hsa-mir-11401	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1178-3p	1.00	hsa-mir-1178	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-1178-5p	0.00	hsa-mir-1178	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	4.00	hsa-mir-1179	4.00	0	2.00	0	2.00	0	0	0	0.79	0	0.45	0	0
hsa-miR-1180-5p	2.00	hsa-mir-1180	2.00	0	0	0	0	0	2.00	0	0	0	0	0	1.00
hsa-miR-1180-3p	1190.00	hsa-mir-1180	1190.00	120.00	611.00	168.00	148.00	81.00	62.00	77.19	241.69	255.02	33.45	40.00	30.95
hsa-miR-1181	0.00	hsa-mir-1181	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	0.00	hsa-mir-1182	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1183	0.00	hsa-mir-1183	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0.00	hsa-mir-1184-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0.00	hsa-mir-1184-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0.00	hsa-mir-1184-3	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-5p	8.00	hsa-mir-1185-1	8.00	0	0	0	4.00	0	4.00	0	0	0	0.90	0	2.00
hsa-miR-1185-1-3p	88.00	hsa-mir-1185-1	88.00	4.00	8.00	2.00	32.00	7.00	35.00	2.57	3.16	3.04	7.23	3.46	17.47
hsa-miR-1185-5p	8.00	hsa-mir-1185-2	8.00	0	0	0	4.00	0	4.00	0	0	0	0.90	0	2.00
hsa-miR-1185-2-3p	74.00	hsa-mir-1185-2	74.00	2.00	4.00	2.00	29.00	6.00	31.00	1.29	1.58	3.04	6.55	2.96	15.48
hsa-miR-1193	0.00	hsa-mir-1193	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1197	15.00	hsa-mir-1197	15.00	1.00	3.00	0	5.00	0	6.00	0.64	1.19	0	1.13	0	3.00
hsa-miR-1199-5p	0.00	hsa-mir-1199	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-3p	0.00	hsa-mir-1199	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	0.00	hsa-mir-1200	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	0.00	hsa-mir-1202	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	0.00	hsa-mir-1203	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1204	0.00	hsa-mir-1204	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1205	0.00	hsa-mir-1205	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1206	0.00	hsa-mir-1206	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-5p	0.00	hsa-mir-1207	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-3p	0.00	hsa-mir-1207	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1208	0.00	hsa-mir-1208	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12113	0.00	hsa-mir-12113	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12114	0.00	hsa-mir-12114	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12115	0.00	hsa-mir-12115	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12116	0.00	hsa-mir-12116	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12117	0.00	hsa-mir-12117	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12118	0.00	hsa-mir-12118	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12119	0.00	hsa-mir-12119	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12120	0.00	hsa-mir-12120	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12121	0.00	hsa-mir-12121	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12122	0.00	hsa-mir-12122	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12123	0.00	hsa-mir-12123	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12124	0.00	hsa-mir-12124	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12125	0.00	hsa-mir-12125	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12126	0.00	hsa-mir-12126	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12127	0.00	hsa-mir-12127	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12128	1.00	hsa-mir-12128	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-12129	10.00	hsa-mir-12129	10.00	1.00	5.00	1.00	2.00	1.00	0	0.64	1.98	1.52	0.45	0.49	0
hsa-miR-12130	0.00	hsa-mir-12130	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12131	0.00	hsa-mir-12131	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12132	0.00	hsa-mir-12132	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12133	0.00	hsa-mir-12133	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12135	128.00	hsa-mir-12135	128.00	14.00	34.00	3.00	49.00	9.00	19.00	9.01	13.45	4.55	11.07	4.44	9.48
hsa-miR-12136	917.00	hsa-mir-12136	917.00	188.00	257.00	120.00	244.00	44.00	64.00	120.93	101.66	182.16	55.14	21.73	31.95
hsa-miR-122-3p	0.00	hsa-mir-122	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-5p	1.00	hsa-mir-122	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0.50
hsa-miR-1224-5p	7.00	hsa-mir-1224	7.00	0	2.00	2.00	2.00	1.00	0	0	0.79	3.04	0.45	0.49	0
hsa-miR-1224-3p	0.00	hsa-mir-1224	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-3p	0.00	hsa-mir-1225	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0.00	hsa-mir-1225	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1226-3p	2.00	hsa-mir-1226	2.00	1.00	0	0	1.00	0	0	0.64	0	0	0.23	0	0
hsa-miR-1226-5p	0.00	hsa-mir-1226	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1227-3p	0.00	hsa-mir-1227	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1227-5p	0.00	hsa-mir-1227	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	4.00	hsa-mir-1228	4.00	1.00	1.00	0	2.00	0	0	0.64	0.40	0	0.45	0	0
hsa-miR-1228-5p	0.00	hsa-mir-1228	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1229-3p	0.00	hsa-mir-1229	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1229-5p	0.00	hsa-mir-1229	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122b-3p	0.00	hsa-mir-122b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122b-5p	3.00	hsa-mir-122b	3.00	0	0	3.00	0	0	0	0	0	4.55	0	0	0
hsa-miR-1231	0.00	hsa-mir-1231	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0.00	hsa-mir-1233-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0.00	hsa-mir-1233-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0.00	hsa-mir-1233-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0.00	hsa-mir-1233-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1234-3p	4.00	hsa-mir-1234	4.00	0	0	0	3.00	1.00	0	0	0	0	0.68	0.49	0
hsa-miR-1236-5p	0.00	hsa-mir-1236	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1236-3p	0.00	hsa-mir-1236	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1237-5p	2.00	hsa-mir-1237	2.00	0	1.00	1.00	0	0	0	0	0.40	1.52	0	0	0
hsa-miR-1237-3p	0.00	hsa-mir-1237	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-5p	0.00	hsa-mir-1238	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-3p	0.00	hsa-mir-1238	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	1.00	hsa-mir-124-1	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	1.00	hsa-mir-124-2	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-3	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	1.00	hsa-mir-124-3	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-1243	1.00	hsa-mir-1243	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-1244	1.00	hsa-mir-1244-1	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-1244	1.00	hsa-mir-1244-2	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-1244	1.00	hsa-mir-1244-3	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-1244	1.00	hsa-mir-1244-4	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-1245a	0.00	hsa-mir-1245a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0.00	hsa-mir-1245b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0.00	hsa-mir-1245b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246	73.00	hsa-mir-1246	73.00	2.00	34.00	13.00	20.00	2.00	2.00	1.29	13.45	19.73	4.52	0.99	1.00
hsa-miR-1247-3p	0.00	hsa-mir-1247	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1247-5p	1.00	hsa-mir-1247	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-1248	16.00	hsa-mir-1248	16.00	3.00	1.00	0	7.00	4.00	1.00	1.93	0.40	0	1.58	1.98	0.50
hsa-miR-1249-5p	0.00	hsa-mir-1249	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1249-3p	19.00	hsa-mir-1249	19.00	2.00	2.00	2.00	5.00	1.00	7.00	1.29	0.79	3.04	1.13	0.49	3.49
hsa-miR-1250-5p	1.00	hsa-mir-1250	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-1250-3p	0.00	hsa-mir-1250	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1251-5p	0.00	hsa-mir-1251	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1251-3p	0.00	hsa-mir-1251	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-3p	0.00	hsa-mir-1252	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-5p	0.00	hsa-mir-1252	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1253	0.00	hsa-mir-1253	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255a	58.00	hsa-mir-1255a	58.00	18.00	11.00	0	25.00	4.00	0	11.58	4.35	0	5.65	1.98	0
hsa-miR-1255b-5p	22.00	hsa-mir-1255b-1	22.00	5.00	4.00	0	10.00	3.00	0	3.22	1.58	0	2.26	1.48	0
hsa-miR-1255b-5p	22.00	hsa-mir-1255b-2	22.00	5.00	4.00	0	10.00	3.00	0	3.22	1.58	0	2.26	1.48	0
hsa-miR-1255b-2-3p	0.00	hsa-mir-1255b-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1256	0.00	hsa-mir-1256	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1257	340.00	hsa-mir-1257	340.00	19.00	187.00	31.00	52.00	30.00	21.00	12.22	73.97	47.06	11.75	14.81	10.48
hsa-miR-1258	0.00	hsa-mir-1258	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125a-5p	55099.00	hsa-mir-125a	55099.00	4562.00	23762.00	6112.00	8778.00	9531.00	2354.00	2934.40	9399.50	9278.02	1983.83	4706.53	1175.11
hsa-miR-125a-3p	140.00	hsa-mir-125a	140.00	6.00	57.00	21.00	23.00	22.00	11.00	3.86	22.55	31.88	5.20	10.86	5.49
hsa-miR-125b-5p	63083.00	hsa-mir-125b-1	63083.00	6637.00	33001.00	9021.00	7005.00	5258.00	2161.00	4269.10	13054.15	13693.89	1583.13	2596.47	1078.76
hsa-miR-125b-1-3p	32.00	hsa-mir-125b-1	32.00	1.00	11.00	4.00	4.00	8.00	4.00	0.64	4.35	6.07	0.90	3.95	2.00
hsa-miR-125b-2-3p	20974.00	hsa-mir-125b-2	20974.00	3075.00	8538.00	1961.00	4282.00	1324.00	1794.00	1977.92	3377.36	2976.80	967.73	653.81	895.56
hsa-miR-125b-5p	62146.00	hsa-mir-125b-2	62146.00	6535.00	32441.00	8863.00	6958.00	5210.00	2139.00	4203.49	12832.63	13454.04	1572.51	2572.77	1067.78
hsa-miR-126-5p	2461.00	hsa-mir-126	2461.00	364.00	34.00	4.00	1395.00	410.00	254.00	234.13	13.45	6.07	315.27	202.46	126.80
hsa-miR-126-3p	6831.00	hsa-mir-126	6831.00	360.00	268.00	20.00	3869.00	1731.00	583.00	231.56	106.01	30.36	874.39	854.79	291.03
hsa-miR-1260a	5720.00	hsa-mir-1260a	5720.00	583.00	1403.00	862.00	1742.00	228.00	902.00	375.00	554.98	1308.52	393.69	112.59	450.28
hsa-miR-1260b	6051.00	hsa-mir-1260b	6051.00	609.00	1490.00	906.00	1810.00	247.00	989.00	391.73	589.40	1375.31	409.06	121.97	493.71
hsa-miR-1261	27.00	hsa-mir-1261	27.00	0	1.00	0	16.00	2.00	8.00	0	0.40	0	3.62	0.99	3.99
hsa-miR-1262	9.00	hsa-mir-1262	9.00	0	3.00	2.00	2.00	1.00	1.00	0	1.19	3.04	0.45	0.49	0.50
hsa-miR-1263	0.00	hsa-mir-1263	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1264	0.00	hsa-mir-1264	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1265	0.00	hsa-mir-1265	0.00	0	0	0	0	0	0	0	0	0	0	0	0
